Legal Entity Domain: NIP
Legal Entity Domain: NIP | Project Code: 1 OH - DFSA
Legal Entity Domain: NIP | Project Code: ALDERWOOD
Legal Entity Domain: NIP | Project Code: ABF II Fundraising
Legal Entity Domain: NIP | Project Code: ASHGROVE Power
Legal Entity Domain: NIP | Project Code: Aspenmoor Bess
Legal Entity Domain: NIP | Project Code: Barnhill
Legal Entity Domain: NIP | Project Code: BICKFORD ABF I
Legal Entity Domain: NIP | Project Code: Bickford GMF II
Legal Entity Domain: NIP | Project Code: AD MIZAR
Legal Entity Domain: NIP | Project Code: Bramshaw Solar
Legal Entity Domain: NIP | Project Code: Bramshaw Dunsford
Legal Entity Domain: NIP | Project Code: Brentmoor
Legal Entity Domain: NIP | Project Code: BRIARFIELD
Legal Entity Domain: NIP | Project Code: CALDERBANK (PHASE II)
Legal Entity Domain: NIP | Project Code: CATHCART AND STONECHAT
Legal Entity Domain: NIP | Project Code: Cedarhill
Legal Entity Domain: NIP | Project Code: Clyveden
Legal Entity Domain: NIP | Project Code: Craigmore
Legal Entity Domain: NIP | Project Code: Dunkeld
Legal Entity Domain: NIP | Project Code: EASTMERE
Legal Entity Domain: NIP | Project Code: ELDERFIELD SOUTH
Legal Entity Domain: NIP | Project Code: APAC Data Centre Mizar
Legal Entity Domain: NIP | Project Code: Elmwood
Legal Entity Domain: NIP | Project Code: ELPHINSTONE
Legal Entity Domain: NIP | Project Code: Farnborough
Legal Entity Domain: NIP | Project Code: Farnborough Bess
Legal Entity Domain: NIP | Project Code: Farnborough Gen
Legal Entity Domain: NIP | Project Code: Fernbank
Legal Entity Domain: NIP | Project Code: FENWICK
Legal Entity Domain: NIP | Project Code: Glencairn
Legal Entity Domain: NIP | Project Code: Gorsebank
Legal Entity Domain: NIP | Project Code: HALSTEAD
Legal Entity Domain: NIP | Project Code: AU Public Affairs
Legal Entity Domain: NIP | Project Code: Australia BD - New O
Legal Entity Domain: NIP | Project Code: AUSTRALIA NI V MIZAR
Legal Entity Domain: NIP | Project Code: Australia New Sites
Legal Entity Domain: NIP | Project Code: Australia New Sites - SA/WA/TAS
Legal Entity Domain: NIP | Project Code: Australia New Sites - Vic 2
Legal Entity Domain: NIP | Project Code: Australia New Sites - Vic 3
Legal Entity Domain: NIP | Project Code: Australian Solar Mizar
Legal Entity Domain: NIP | Project Code: Hawkridge
Legal Entity Domain: NIP | Project Code: Holloway
Legal Entity Domain: NIP | Project Code: Inverclyde I - PGN
Legal Entity Domain: NIP | Project Code: Kellsgate
Legal Entity Domain: NIP | Project Code: Kilbryde
Legal Entity Domain: NIP | Project Code: Larchmere
Legal Entity Domain: NIP | Project Code: Lindfield
Legal Entity Domain: NIP | Project Code: Marlowe
Legal Entity Domain: NIP | Project Code: Merevale II
Legal Entity Domain: NIP | Project Code: NETHERBY
Legal Entity Domain: NIP | Project Code: Oakhampton
Legal Entity Domain: NIP | Project Code: RAVENSCOURT
Legal Entity Domain: NIP | Project Code: BES-NL-1
Legal Entity Domain: NIP | Project Code: Rothbury
Legal Entity Domain: NIP | Project Code: Salcombe
Legal Entity Domain: NIP | Project Code: SHELDRAKE
Legal Entity Domain: NIP | Project Code: Skelmore
Legal Entity Domain: NIP | Project Code: Strathaven Energy Island
Legal Entity Domain: NIP | Project Code: BRG Taiwan Geothermal
Legal Entity Domain: NIP | Project Code: Thornhill
Legal Entity Domain: NIP | Project Code: British Columbia Business Development / Melia
Legal Entity Domain: NIP | Project Code: Wexcombe
Legal Entity Domain: NIP | Project Code: Whitburn
Legal Entity Domain: NIP | Project Code: WILLOWBANK
Legal Entity Domain: NIP | Project Code: WOLFERTON
Legal Entity Domain: NIP | Project Code: Yarmoor 1
Legal Entity Domain: NIP | Project Code: Yarmoor 2
Legal Entity Domain: NIP | Project Code: California North Floating
Legal Entity Domain: NIP | Project Code: Capital Energy
Legal Entity Domain: NIP | Project Code: CAPITAL ENERGY - SP
Legal Entity Domain: NIP | Project Code: ALVDAL PHES
Legal Entity Domain: NIP | Project Code: ALVDAL WIND
Legal Entity Domain: NIP | Project Code: Bergvik
Legal Entity Domain: NIP | Project Code: Fjordvik Wind
Legal Entity Domain: NIP | Project Code: Havsund
Legal Entity Domain: NIP | Project Code: Holmvik
Legal Entity Domain: NIP | Project Code: CEN (Hydro)
Legal Entity Domain: NIP | Project Code: Kvarnby
Legal Entity Domain: NIP | Project Code: LINDESNES SEA
Legal Entity Domain: NIP | Project Code: CENTRAL ATLANTIC
Legal Entity Domain: NIP | Project Code: Myrdal
Legal Entity Domain: NIP | Project Code: CESN
Legal Entity Domain: NIP | Project Code: CFO transformation
Legal Entity Domain: NIP | Project Code: OSTERVIK
Legal Entity Domain: NIP | Project Code: Ravnsund
Legal Entity Domain: NIP | Project Code: Sandhamn
Legal Entity Domain: NIP | Project Code: Skagfjord I
Legal Entity Domain: NIP | Project Code: Skagfjord II
Legal Entity Domain: NIP | Project Code: NI Castalia Land Pty Ltd
Legal Entity Domain: NIP | Project Code: NI IV TO NI V TRANSF
Legal Entity Domain: NIP | Project Code: NI LandCo
Legal Entity Domain: NIP | Project Code: NI V – NI VI TRANSF
Legal Entity Domain: NIP | Project Code: NI V Datacenters (DPIN)
Legal Entity Domain: NIP | Project Code: NI V SCSp (Zubenel Fund)_NI V Sponsor Investor US LP
Legal Entity Domain: NIP | Project Code: NI V US Overhead
Legal Entity Domain: NIP | Project Code: CIO, Offshore Platform, Technology and Solutions
Legal Entity Domain: NIP | Project Code: NIP 2.0 - Solutions FA
Legal Entity Domain: NIP | Project Code: NIP Fund Solutions ApS
Legal Entity Domain: NIP | Project Code: NIP Mirfak Technologies ApS
Legal Entity Domain: NIP | Project Code: NIP Platform Holding Aps
Legal Entity Domain: NIP | Project Code: NIP Platform Solutions ApS
Legal Entity Domain: NIP | Project Code: NIP Vervainhill Technologies ApS
Legal Entity Domain: NIP | Project Code: NISC APS
Legal Entity Domain: NIP | Project Code: ULVIK
Legal Entity Domain: NIP | Project Code: Co-Inv
Legal Entity Domain: NIP | Project Code: Vestmark
Legal Entity Domain: NIP | Project Code: VINDHEM
Legal Entity Domain: NIP | Project Code: Aalvik Gardens
Legal Entity Domain: NIP | Project Code: Bruvik
Legal Entity Domain: NIP | Project Code: DALSVIK
Legal Entity Domain: NIP | Project Code: DE Public Affairs
Legal Entity Domain: NIP | Project Code: Enervik - Phase II
Legal Entity Domain: NIP | Project Code: FOSSVIK
Legal Entity Domain: NIP | Project Code: Galtvik Wind (NSW - 1&2)
Legal Entity Domain: NIP | Project Code: DEUTSCHE FRIGG
Legal Entity Domain: NIP | Project Code: Deutsche Frigg Phase II
Legal Entity Domain: NIP | Project Code: DEVEX
Legal Entity Domain: NIP | Project Code: DEW 2.0
Legal Entity Domain: NIP | Project Code: DK OFW Re-tender (NI V)
Legal Entity Domain: NIP | Project Code: DK Tealford Isfjell
Legal Entity Domain: NIP | Project Code: NVC FRAMEWORK BRACKEN
Legal Entity Domain: NIP | Project Code: Hovden I
Legal Entity Domain: NIP | Project Code: Loenvik
Legal Entity Domain: NIP | Project Code: Morvik
Legal Entity Domain: NIP | Project Code: Dutch GPs
Legal Entity Domain: NIP | Project Code: NAERVIK
Legal Entity Domain: NIP | Project Code: Osvik
Legal Entity Domain: NIP | Project Code: AEGIR to Methanol
Legal Entity Domain: NIP | Project Code: Bragi
Legal Entity Domain: NIP | Project Code: Brynhild
Legal Entity Domain: NIP | Project Code: Energy Management
Legal Entity Domain: NIP | Project Code: FORSETI
Legal Entity Domain: NIP | Project Code: Verhof
Legal Entity Domain: NIP | Project Code: ERP implementation
Legal Entity Domain: NIP | Project Code: ES Public Affairs
Legal Entity Domain: NIP | Project Code: ESG, Risk Management and Compliance
Legal Entity Domain: NIP | Project Code: GEFION
Legal Entity Domain: NIP | Project Code: EU NI V COP MIZAR
Legal Entity Domain: NIP | Project Code: EU Mizar
Legal Entity Domain: NIP | Project Code: EU Offshore Mizar
Legal Entity Domain: NIP | Project Code: EU Offshore Mizar (France)
Legal Entity Domain: NIP | Project Code: IDUNN
Legal Entity Domain: NIP | Project Code: Kvasir
Legal Entity Domain: NIP | Project Code: Kvasir Land Pty Ltd
Legal Entity Domain: NIP | Project Code: Kvasir Wind Land
Legal Entity Domain: NIP | Project Code: Modi
Legal Entity Domain: NIP | Project Code: Nanna
Legal Entity Domain: NIP | Project Code: Njord
Legal Entity Domain: NIP | Project Code: Ostara
Legal Entity Domain: NIP | Project Code: Ranfjord
Legal Entity Domain: NIP | Project Code: Ranfjord II
Legal Entity Domain: NIP | Project Code: Sagalund
Legal Entity Domain: NIP | Project Code: FIN DevCo Oy
Legal Entity Domain: NIP | Project Code: FLOATING STRATEGY
Legal Entity Domain: NIP | Project Code: Skadi
Legal Entity Domain: NIP | Project Code: Skirnir
Legal Entity Domain: NIP | Project Code: Snotra
Legal Entity Domain: NIP | Project Code: THRUDHEIM
Legal Entity Domain: NIP | Project Code: Fund Acc/Contr
Legal Entity Domain: NIP | Project Code: Fund Accounting & Controlling
Legal Entity Domain: NIP | Project Code: Tyrfing
Legal Entity Domain: NIP | Project Code: GAS MIZAR
Legal Entity Domain: NIP | Project Code: GCF MIZAR US
Legal Entity Domain: NIP | Project Code: Vidar
Legal Entity Domain: NIP | Project Code: German OFS Tender
Legal Entity Domain: NIP | Project Code: GIN CO
Legal Entity Domain: NIP | Project Code: Aether
Legal Entity Domain: NIP | Project Code: GLOBAL COMP. CENTRE
Legal Entity Domain: NIP | Project Code: Global Competence Centre
Legal Entity Domain: NIP | Project Code: Global Compliance
Legal Entity Domain: NIP | Project Code: Global ESG
Legal Entity Domain: NIP | Project Code: Global Finance Service
Legal Entity Domain: NIP | Project Code: Global IT Services
Legal Entity Domain: NIP | Project Code: Global Management Services
Legal Entity Domain: NIP | Project Code: Global People Services
Legal Entity Domain: NIP | Project Code: GLOBAL PROCUREMENT
Legal Entity Domain: NIP | Project Code: Global Risk
Legal Entity Domain: NIP | Project Code: GMF II Fundraising
Legal Entity Domain: NIP | Project Code: GMF II HedgeCo.
Legal Entity Domain: NIP | Project Code: GMF II Hedging Fund Costs
Legal Entity Domain: NIP | Project Code: AMPELOS
Legal Entity Domain: NIP | Project Code: Ampelos BESS
Legal Entity Domain: NIP | Project Code: Arete
Legal Entity Domain: NIP | Project Code: BOREAS
Legal Entity Domain: NIP | Project Code: GREEN2X
Legal Entity Domain: NIP | Project Code: Greenfish
Legal Entity Domain: NIP | Project Code: Cephalus | New Project Code: Halstead
Legal Entity Domain: NIP | Project Code: Clio of Mexico Seabed Auction
Legal Entity Domain: NIP | Project Code: Daphne I
Legal Entity Domain: NIP | Project Code: Daphne II
Legal Entity Domain: NIP | Project Code: Dryas I
Legal Entity Domain: NIP | Project Code: Dryas II
Legal Entity Domain: NIP | Project Code: Dryas III
Legal Entity Domain: NIP | Project Code: Dryas IV
Legal Entity Domain: NIP | Project Code: Eosmark I
Legal Entity Domain: NIP | Project Code: Eosmark II
Legal Entity Domain: NIP | Project Code: Eosmark III
Legal Entity Domain: NIP | Project Code: Erato
Legal Entity Domain: NIP | Project Code: GALENE
Legal Entity Domain: NIP | Project Code: HELLESPONT
Legal Entity Domain: NIP | Project Code: Hesperus
Legal Entity Domain: NIP | Project Code: HYPERION
Legal Entity Domain: NIP | Project Code: Iapetus
Legal Entity Domain: NIP | Project Code: Kairos
Legal Entity Domain: NIP | Project Code: Hedge-Co and Co-invest
Legal Entity Domain: NIP | Project Code: Nereus Caribe
Legal Entity Domain: NIP | Project Code: Nereus Chrysos
Legal Entity Domain: NIP | Project Code: Notus
Legal Entity Domain: NIP | Project Code: OCEANUS
Legal Entity Domain: NIP | Project Code: Paean Bridge Wind
Legal Entity Domain: NIP | Project Code: PHOEBE
Legal Entity Domain: NIP | Project Code: Kurogane Partnership NI V
Legal Entity Domain: NIP | Project Code: Kurogane Partnership NMF I
Legal Entity Domain: NIP | Project Code: SELENE
Legal Entity Domain: NIP | Project Code: Tethys New Energy
Legal Entity Domain: NIP | Project Code: HV Strategy NI V
Legal Entity Domain: NIP | Project Code: HV Strategy NMF I
Legal Entity Domain: NIP | Project Code: Zephyr Ver
Legal Entity Domain: NIP | Project Code: Independent Energy Development
Legal Entity Domain: NIP | Project Code: India Nearshore
Legal Entity Domain: NIP | Project Code: Indonesia Origination
Legal Entity Domain: NIP | Project Code: Bellerophon II
Legal Entity Domain: NIP | Project Code: Bellerophon II and III
Legal Entity Domain: NIP | Project Code: Bellerophon III
Legal Entity Domain: NIP | Project Code: Bellerophon IV
Legal Entity Domain: NIP | Project Code: CASTALIA
Legal Entity Domain: NIP | Project Code: Castalia Land
Legal Entity Domain: NIP | Project Code: ALDEBARAN
Legal Entity Domain: NIP | Project Code: Japan Agrisolar Merak
Legal Entity Domain: NIP | Project Code: Japan BESS Mizar
Legal Entity Domain: NIP | Project Code: JAPAN NI V MIZAR
Legal Entity Domain: NIP | Project Code: Japan New Sites
Legal Entity Domain: NIP | Project Code: Japan Non-Offshore Mizar
Legal Entity Domain: NIP | Project Code: Japan Solar Platform
Legal Entity Domain: NIP | Project Code: ARCTURUS
Legal Entity Domain: NIP | Project Code: Auriga
Legal Entity Domain: NIP | Project Code: Bellatrix
Legal Entity Domain: NIP | Project Code: CANOPUS II
Legal Entity Domain: NIP | Project Code: Capella
Legal Entity Domain: NIP | Project Code: Carina Wind Farm
Legal Entity Domain: NIP | Project Code: CASSIOPE
Legal Entity Domain: NIP | Project Code: CEPHEUS
Legal Entity Domain: NIP | Project Code: Cygnus
Legal Entity Domain: NIP | Project Code: KO Public Affairs
Legal Entity Domain: NIP | Project Code: DRACONIS V
Legal Entity Domain: NIP | Project Code: Korea BESS
Legal Entity Domain: NIP | Project Code: KOREA NI V MIZAR
Legal Entity Domain: NIP | Project Code: Korea New Sites I
Legal Entity Domain: NIP | Project Code: KOREA NEW SITES II
Legal Entity Domain: NIP | Project Code: ELNATH SIFHOLM II
Legal Entity Domain: NIP | Project Code: La Carrowmore
Legal Entity Domain: NIP | Project Code: La Gerda Solar
Legal Entity Domain: NIP | Project Code: La Ullrvik
Legal Entity Domain: NIP | Project Code: La Dunlin
Legal Entity Domain: NIP | Project Code: La Icebound
Legal Entity Domain: NIP | Project Code: Hadar
Legal Entity Domain: NIP | Project Code: Lyra
Legal Entity Domain: NIP | Project Code: MIZAR
Legal Entity Domain: NIP | Project Code: Mizar APAC
Legal Entity Domain: NIP | Project Code: Mizar KIRKVIK
Legal Entity Domain: NIP | Project Code: MIZAR EU
Legal Entity Domain: NIP | Project Code: Mizar LATAM
Legal Entity Domain: NIP | Project Code: MIZAR MEA
Legal Entity Domain: NIP | Project Code: MIZAR Romania
Legal Entity Domain: NIP | Project Code: MizarCo
Legal Entity Domain: NIP | Project Code: LGF
Legal Entity Domain: NIP | Project Code: PAVO RENEWABLES
Legal Entity Domain: NIP | Project Code: PHECDA
Legal Entity Domain: NIP | Project Code: POLLUX
Legal Entity Domain: NIP | Project Code: RIGEL
Legal Entity Domain: NIP | Project Code: Sadr
Legal Entity Domain: NIP | Project Code: LIQUIDATION
Legal Entity Domain: NIP | Project Code: Shaula Sundvall
Legal Entity Domain: NIP | Project Code: Talitha Stenvik
Legal Entity Domain: NIP | Project Code: VEGAPOINT
Legal Entity Domain: NIP | Project Code: LSR WIND
Legal Entity Domain: NIP | Project Code: VELARIS
Legal Entity Domain: NIP | Project Code: Volans
Legal Entity Domain: NIP | Project Code: Malta Mizar
Legal Entity Domain: NIP | Project Code: MAN-FEES
Legal Entity Domain: NIP | Project Code: Alphard
Legal Entity Domain: NIP | Project Code: Market Public Affairs
Legal Entity Domain: NIP | Project Code: Ankaa
Legal Entity Domain: NIP | Project Code: Atria
Legal Entity Domain: NIP | Project Code: MEC
Legal Entity Domain: NIP | Project Code: Denebola
Legal Entity Domain: NIP | Project Code: Diphda Solar II
Legal Entity Domain: NIP | Project Code: GACRUX
Legal Entity Domain: NIP | Project Code: Kochab Wind Farm
Legal Entity Domain: NIP | Project Code: Menkar
Legal Entity Domain: NIP | Project Code: Mirach
Legal Entity Domain: NIP | Project Code: Avocet
Legal Entity Domain: NIP | Project Code: Chaffinch
Legal Entity Domain: NIP | Project Code: CURLEW
Legal Entity Domain: NIP | Project Code: GANNET
Legal Entity Domain: NIP | Project Code: BRAMBLING
Legal Entity Domain: NIP | Project Code: GODWIT
Legal Entity Domain: NIP | Project Code: Greenshank
Legal Entity Domain: NIP | Project Code: GUILLEMOT
Legal Entity Domain: NIP | Project Code: NMF II Fundraising
Legal Entity Domain: NIP | Project Code: NMF MGMT COST
Legal Entity Domain: NIP | Project Code: North Baltic Sea
Legal Entity Domain: NIP | Project Code: Knotley
Legal Entity Domain: NIP | Project Code: NS SITE I-III
Legal Entity Domain: NIP | Project Code: NSW Forestry
Legal Entity Domain: NIP | Project Code: Nuthatch
Legal Entity Domain: NIP | Project Code: NZ Offshore
Legal Entity Domain: NIP | Project Code: NZCE
Legal Entity Domain: NIP | Project Code: PIPIT (LEVANTER)
Legal Entity Domain: NIP | Project Code: OFFSHORE MIZAR
Legal Entity Domain: NIP | Project Code: OFFSHORE MIZAR APAC
Legal Entity Domain: NIP | Project Code: OFW-BE-1
Legal Entity Domain: NIP | Project Code: OFW-DK-6(DK TENDER)
Legal Entity Domain: NIP | Project Code: OFW-EE-2
Legal Entity Domain: NIP | Project Code: OFW-ES-1
Legal Entity Domain: NIP | Project Code: OFW-FI-1 (Greenfield)
Legal Entity Domain: NIP | Project Code: OFW-FR-2
Legal Entity Domain: NIP | Project Code: OFW-LT-1
Legal Entity Domain: NIP | Project Code: OFW-LV-1
Legal Entity Domain: NIP | Project Code: OFW-MT-1
Legal Entity Domain: NIP | Project Code: OFW-NO-1 (Scabious Nord)
Legal Entity Domain: NIP | Project Code: OFW-PL-1
Legal Entity Domain: NIP | Project Code: OFW-PT-1 (Jackdaw)
Legal Entity Domain: NIP | Project Code: OFW-SE-1 (Greenfield)
Legal Entity Domain: NIP | Project Code: OFW-XX-1 (New Market Screening NMF)
Legal Entity Domain: NIP | Project Code: OH - ADMIN FEES
Legal Entity Domain: NIP | Project Code: OH - AGM CONSULTANCY
Legal Entity Domain: NIP | Project Code: OH - Ledgervue ADVISORY
Legal Entity Domain: NIP | Project Code: OH - Ledgervue SUBSCRIP
Legal Entity Domain: NIP | Project Code: OH - AMF FRANCE
Legal Entity Domain: NIP | Project Code: OH - AML
Legal Entity Domain: NIP | Project Code: OH - Planvex
Legal Entity Domain: NIP | Project Code: OH - AUDIT
Legal Entity Domain: NIP | Project Code: OH - Bank Fees
Legal Entity Domain: NIP | Project Code: OH - Marketwire
Legal Entity Domain: NIP | Project Code: OH - BOARD MEMBER FE
Legal Entity Domain: NIP | Project Code: OH - CAPITAL MARKET
Legal Entity Domain: NIP | Project Code: OH - CENTITY SUBSCRI
Legal Entity Domain: NIP | Project Code: OH - CF Fees
Legal Entity Domain: NIP | Project Code: OH - CIO office
Legal Entity Domain: NIP | Project Code: OH - Compliance
Legal Entity Domain: NIP | Project Code: OH - CONFERENCE
Legal Entity Domain: NIP | Project Code: OH – Credit Facility fee – Korea
Legal Entity Domain: NIP | Project Code: OH – Credit Facility fee – Non-US
Legal Entity Domain: NIP | Project Code: OH – Credit Facility fee – Taiwan
Legal Entity Domain: NIP | Project Code: OH – Credit Facility fee – US
Legal Entity Domain: NIP | Project Code: OH - DEPOSITARY
Legal Entity Domain: NIP | Project Code: OH - DFSA
Legal Entity Domain: NIP | Project Code: OH - DHW & MDM
Legal Entity Domain: NIP | Project Code: OH - DWH & MDM
Legal Entity Domain: NIP | Project Code: OH - EMEA FINANCE
Legal Entity Domain: NIP | Project Code: OH - EPRM
Legal Entity Domain: NIP | Project Code: OH - ESG
Legal Entity Domain: NIP | Project Code: OH - FINANCE ADVISOR
Legal Entity Domain: NIP | Project Code: OH - FINANCE ASSISTA
Legal Entity Domain: NIP | Project Code: OH - FP&A
Legal Entity Domain: NIP | Project Code: OH - FS BS FINANCE
Legal Entity Domain: NIP | Project Code: OH - FS COMPLIANCE
Legal Entity Domain: NIP | Project Code: OH - FS Entity MNG
Legal Entity Domain: NIP | Project Code: OH - FS ESG
Legal Entity Domain: NIP | Project Code: OH - FS FUND FINANCE/LUX
Legal Entity Domain: NIP | Project Code: OH - FS INV REPORTING
Legal Entity Domain: NIP | Project Code: OH - FS IT
Legal Entity Domain: NIP | Project Code: OH - FS PLFM EXCELLENCE
Legal Entity Domain: NIP | Project Code: OH - FS TAX ADVISORY
Legal Entity Domain: NIP | Project Code: OH - FS VALUATION
Legal Entity Domain: NIP | Project Code: OH - FSA
Legal Entity Domain: NIP | Project Code: OH - FUND ESTABLISH
Legal Entity Domain: NIP | Project Code: OH - FUND IMPLEMENTA
Legal Entity Domain: NIP | Project Code: OH - Fund implementation consultancy
Legal Entity Domain: NIP | Project Code: OH - GEMS
Legal Entity Domain: NIP | Project Code: OH - GFS Compliance
Legal Entity Domain: NIP | Project Code: OH - GFS EPRM
Legal Entity Domain: NIP | Project Code: OH - GFS Finance
Legal Entity Domain: NIP | Project Code: OH - GFS IT
Legal Entity Domain: NIP | Project Code: OH - GFS Legal
Legal Entity Domain: NIP | Project Code: OH - GFS Management
Legal Entity Domain: NIP | Project Code: OH - GFS People
Legal Entity Domain: NIP | Project Code: Oh - GFS Risk
Legal Entity Domain: NIP | Project Code: OH - GLOBAL PMO
Legal Entity Domain: NIP | Project Code: OH - GOVERNANCE
Legal Entity Domain: NIP | Project Code: OH – GP RECHARGE
Legal Entity Domain: NIP | Project Code: OH - WPEC
Legal Entity Domain: NIP | Project Code: OH - IC AND LPAC
Legal Entity Domain: NIP | Project Code: OH - INSURANCE
Legal Entity Domain: NIP | Project Code: OH - Interest Expense
Legal Entity Domain: NIP | Project Code: OH - Interest Income
Legal Entity Domain: NIP | Project Code: OH - IP COST
Legal Entity Domain: NIP | Project Code: OH - IR&BD
Legal Entity Domain: NIP | Project Code: OH - IT COSTS
Legal Entity Domain: NIP | Project Code: OH - LEGAL ADVISORY
Legal Entity Domain: NIP | Project Code: OH - LEGAL ASSISTANC
Legal Entity Domain: NIP | Project Code: OH - Management Fees
Legal Entity Domain: NIP | Project Code: OH - MEDIA
Legal Entity Domain: NIP | Project Code: OH - MEMBERSHIPS
Legal Entity Domain: NIP | Project Code: OH - NDA CONSULTANCY
Legal Entity Domain: NIP | Project Code: OH - PAYROLL TAX
Legal Entity Domain: NIP | Project Code: OH - PORTFOLIO TRANS
Legal Entity Domain: NIP | Project Code: OH - PROCUREMENT
Legal Entity Domain: NIP | Project Code: OH - PUBLIC AFFAIRS
Legal Entity Domain: NIP | Project Code: OH - RECRUITMENT
Legal Entity Domain: NIP | Project Code: OH - RISK ADVISORY
Legal Entity Domain: NIP | Project Code: OH - WHIRLWIND
Legal Entity Domain: NIP | Project Code: OH - STRATEGY
Legal Entity Domain: NIP | Project Code: OH - TAX ADVISORY
Legal Entity Domain: NIP | Project Code: OH - TAX ASSISTANC
Legal Entity Domain: NIP | Project Code: OH - TRANSACTIONS
Legal Entity Domain: NIP | Project Code: OH - TRAVEL COST
Legal Entity Domain: NIP | Project Code: OH-AMG
Legal Entity Domain: NIP | Project Code: OHP - NIP2.0 IT
Legal Entity Domain: NIP | Project Code: OHP - NIP2.0 Legal
Legal Entity Domain: NIP | Project Code: OHP - NIP2.0 Recruitment
Legal Entity Domain: NIP | Project Code: OHP - NIP2.0 Rent
Legal Entity Domain: NIP | Project Code: OHP - NIP2.0 Staff related
Legal Entity Domain: NIP | Project Code: OHP - CYBER SECURITY
Legal Entity Domain: NIP | Project Code: OHP - FINANCE MANUAL
Legal Entity Domain: NIP | Project Code: OHP - INTERNAL CONTR
Legal Entity Domain: NIP | Project Code: Onshore Wind Korea
Legal Entity Domain: NIP | Project Code: ONSHORE/SOLAR MIZAR
Legal Entity Domain: NIP | Project Code: TURNSTONE
Legal Entity Domain: NIP | Project Code: Wheatear
Legal Entity Domain: NIP | Project Code: Wigeon
Legal Entity Domain: NIP | Project Code: Woodcock (Phase I)
Legal Entity Domain: NIP | Project Code: Woodcock (Phase II-III)
Legal Entity Domain: NIP | Project Code: Woodcock BD
Legal Entity Domain: NIP | Project Code: Other Fund Services
Legal Entity Domain: NIP | Project Code: OVERHEAD
Legal Entity Domain: NIP | Project Code: Overheads (Draconis)
Legal Entity Domain: NIP | Project Code: OVH NISC EU
Legal Entity Domain: NIP | Project Code: OVH Overhead
Legal Entity Domain: NIP | Project Code: Panama Offshore
Legal Entity Domain: NIP | Project Code: Adularia
Legal Entity Domain: NIP | Project Code: AGATESTONE GROVE I
Legal Entity Domain: NIP | Project Code: AGATESTONE GROVE II
Legal Entity Domain: NIP | Project Code: Partnerships
Legal Entity Domain: NIP | Project Code: Partnerships - BPP
Legal Entity Domain: NIP | Project Code: Partnerships - NISC/NIP
Legal Entity Domain: NIP | Project Code: Partnerships - COP
Legal Entity Domain: NIP | Project Code: Partnerships - NVC
Legal Entity Domain: NIP | Project Code: Partnerships - Peak Wind
Legal Entity Domain: NIP | Project Code: Partnerships - Nordholt
Legal Entity Domain: NIP | Project Code: Alabaster
Legal Entity Domain: NIP | Project Code: Amazonite
Legal Entity Domain: NIP | Project Code: Peak
Legal Entity Domain: NIP | Project Code: ANDESITE
Legal Entity Domain: NIP | Project Code: Azurite Array
Legal Entity Domain: NIP | Project Code: Basaltic II
Legal Entity Domain: NIP | Project Code: Berylhill
Legal Entity Domain: NIP | Project Code: PH Onshore WESCs
Legal Entity Domain: NIP | Project Code: Carnelian
Legal Entity Domain: NIP | Project Code: Celestine
Legal Entity Domain: NIP | Project Code: Chalcedon
Legal Entity Domain: NIP | Project Code: Chrysolite
Legal Entity Domain: NIP | Project Code: CITRINE
Legal Entity Domain: NIP | Project Code: Polish Portfolio
Legal Entity Domain: NIP | Project Code: CORUNDUM
Legal Entity Domain: NIP | Project Code: Dolomite
Legal Entity Domain: NIP | Project Code: Feldspar
Legal Entity Domain: NIP | Project Code: Project Hodur
Legal Entity Domain: NIP | Project Code: Project Mimir
Legal Entity Domain: NIP | Project Code: Project Calliope
Legal Entity Domain: NIP | Project Code: Project Maia
Legal Entity Domain: NIP | Project Code: Project Linnet
Legal Entity Domain: NIP | Project Code: Project Twitehill (NL Tender 2025)
Legal Entity Domain: NIP | Project Code: Project Recycle - NI GMF II Coop
Legal Entity Domain: NIP | Project Code: PROJECT LOWENFORD
Legal Entity Domain: NIP | Project Code: Garnetfield
Legal Entity Domain: NIP | Project Code: GNEISS WIND
Legal Entity Domain: NIP | Project Code: Hematite
Legal Entity Domain: NIP | Project Code: Hematite Power Inc
Legal Entity Domain: NIP | Project Code: Public Funding
Legal Entity Domain: NIP | Project Code: Lazuli
Legal Entity Domain: NIP | Project Code: Moonstone
Legal Entity Domain: NIP | Project Code: Nordholt FWA
Legal Entity Domain: NIP | Project Code: OBSIDIAN
Legal Entity Domain: NIP | Project Code: Onyxvale
Legal Entity Domain: NIP | Project Code: RECYCLE - NI V Coop
Legal Entity Domain: NIP | Project Code: RECYCLE - NI V Master DevCo
Legal Entity Domain: NIP | Project Code: RECYCLE - US LPs
